Station Name,lat,lon
consejo,"18° 27' 16"" N","88° 17' 43"" W"
corozal,"18° 23' 17"" N","88° 22' 55"" W"
san-pedro,"17° 54' 58"" N","87° 57' 49"" W"
sarteneja,"18° 21' 29"" N","88° 08' 43"" W"
belize,"17° 30' 00"" N","88° 10' 60"" W"
dangriga,"16° 57' 58"" N","88° 12' 49"" W"
hopkins,"16° 51' 11"" N","88° 16' 26"" W"
seine-bight,"16° 34' 38"" N","88° 21' 39"" W"
monkey-river-town,"16° 21' 53"" N","88° 28' 58"" W"
punta-gorda,"16° 05' 53"" N","88° 48' 05"" W"
addenbroke-island,"51° 36' 00"" N","127° 49' 00"" W"
alberta-pool-elev,"49° 17' 60"" N","123° 01' 60"" W"
alert-bay,"50° 34' 60"" N","126° 55' 60"" W"
alice-arm,"55° 28' 00"" N","129° 30' 00"" W"
alison-sound,"51° 08' 60"" N","127° 00' 00"" W"
armentieres-channel,"53° 07' 00"" N","132° 22' 60"" W"
bamfield,"48° 49' 60"" N","125° 07' 60"" W"
barnard-harbour,"53° 04' 60"" N","129° 07' 00"" W"
becher-bay,"48° 19' 60"" N","123° 37' 60"" W"
bedwell-harbour,"48° 43' 60"" N","123° 13' 60"" W"
belize-inlet,"51° 07' 00"" N","127° 16' 00"" W"
bella-bella,"52° 10' 00"" N","128° 07' 60"" W"
bella-coola,"52° 22' 60"" N","126° 47' 60"" W"
bergh-cove,"50° 31' 60"" N","127° 37' 60"" W"
big-bay,"50° 23' 60"" N","125° 07' 60"" W"
billygoat-bay,"50° 23' 60"" N","125° 52' 00"" W"
birnie-island,"54° 36' 00"" N","130° 28' 00"" W"
blind-bay,"49° 43' 00"" N","124° 10' 60"" W"
blind-channel,"50° 25' 00"" N","125° 30' 00"" W"
block-islands,"53° 08' 60"" N","129° 46' 00"" W"
bloedel,"50° 07' 00"" N","125° 22' 60"" W"
blubber-bay,"49° 47' 60"" N","124° 37' 00"" W"
blunden-harbour,"50° 53' 60"" N","127° 16' 60"" W"
boat-harbour,"49° 06' 00"" N","123° 47' 60"" W"
borrowman-bay,"52° 43' 60"" N","129° 16' 60"" W"
brentwood-bay,"48° 34' 60"" N","123° 28' 00"" W"
brooksby-point,"48° 58' 60"" N","124° 58' 60"" W"
brown-bay,"50° 10' 00"" N","125° 22' 00"" W"
brundige-inlet,"54° 37' 00"" N","130° 50' 60"" W"
buntzen-lake,"49° 22' 00"" N","122° 52' 60"" W"
burgoyne-bay,"48° 46' 60"" N","123° 31' 00"" W"
butedale,"53° 10' 00"" N","128° 41' 60"" W"
camp-latona-beach,"49° 31' 60"" N","123° 22' 60"" W"
campbell-river,"50° 01' 00"" N","125° 13' 60"" W"
canoe-pass,"49° 04' 60"" N","123° 07' 60"" W"
cape-saint-james,"51° 55' 60"" N","131° 01' 00"" W"
cape-scott,"50° 46' 60"" N","128° 25' 00"" W"
casey-cove,"54° 16' 60"" N","130° 22' 00"" W"
ceepeecee,"49° 52' 00"" N","126° 43' 00"" W"
chatham-point,"50° 19' 60"" N","125° 25' 60"" W"
chemainus,"48° 55' 00"" N","123° 42' 00"" W"
chesnucknuw-creek,"49° 02' 60"" N","124° 49' 60"" W"
clover-point,"48° 23' 60"" N","123° 20' 60"" W"
coal-harbour,"50° 36' 00"" N","127° 34' 60"" W"
comox,"49° 40' 00"" N","124° 55' 60"" W"
copper-islands,"52° 21' 00"" N","131° 10' 00"" W"
cordero-islands,"50° 25' 60"" N","125° 28' 60"" W"
cowichan-bay,"48° 43' 60"" N","123° 37' 00"" W"
crescent-beach,"49° 01' 60"" N","122° 52' 60"" W"
crofton,"48° 51' 00"" N","123° 37' 60"" W"
dadens,"54° 10' 60"" N","132° 58' 60"" W"
davis-river,"55° 46' 00"" N","130° 10' 00"" W"
deep-cove,"49° 19' 60"" N","122° 57' 00"" W"
degnen-bay,"49° 07' 60"" N","123° 43' 00"" W"
denman-island,"49° 31' 60"" N","124° 49' 00"" W"
