Seq,station,lat,lon,country,distance
1,阿尔及尔港,36°46′N,003°04′E,阿尔及利亚,255.92817562140127 km
2,布宜诺斯艾利斯港,34°36′S,058°22′W,阿根廷,4.933398833090033 km
3,马德普拉塔港,38°00′S,057°32′W,阿根廷,4.241751635135088 km
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,2821.5779416544465 km
5,拉希德港,25°16′N,055°16′E,阿拉伯联合酋长国,2853.624830477732 km
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,2822.589319419251 km
7,迪拜,25°16′N,055°18′E,阿拉伯联合酋长国,2856.4915427171604 km
8,马西拉岛,20°30′N,058°50′E,阿曼,3452.6775078122 km
9,塞拉莱港,16°56′N,054°00′E,阿曼,3323.0053609567194 km
10,苏尔丹卡布斯港,23°38′N,058°34′.0E,阿曼,3232.970739034933 km
11,塞法杰港,26°44′.4N,033°56′.6E,埃及,1176.7457102153517 km
12,苏伊士港,29°56′.5N,032°33′.9E,埃及,800.1348917700421 km
13,亚历山大港,31°09′N,029°53′E,埃及,564.6647623594706 km
14,罗安达港,08°47′S,013°16′E,安哥拉,4991.259111085467 km
15,奥尔巴尼港,35°02′S,117°53′E,澳大利亚,0.0 km
16,达尔文港,12°28′S,130°50′E,澳大利亚,1.897362153119186 km
17,弗里曼特尔港,32°03′S,115°44′E,澳大利亚,1.3448087765445764 km
18,凯恩斯港,16°55′S,145°47′E,澳大利亚,0.5030690904900051 km
19,纽卡斯尔港,32°55′S,151°48′E,澳大利亚,2.0685786344663932 km
20,悉尼港,33°51′S,151°13′E,澳大利亚,0.8965108064774021 km
21,布里奇敦港,13°06′N,059°38′W,巴巴多斯,0.0 km
22,莫尔兹比港,09°28′.7S,147°08′.8E,巴布亚新几内亚,483.02112969519305 km
23,瓜德尔港,25°07′N,062°19′E,巴基斯坦,3473.3380654926937 km
24,加西姆港,24°46′.1N,067°19′.7E,巴基斯坦,3933.8956141241933 km
25,卡拉奇港,24°48′N,066°59′E,巴基斯坦,3902.541155349201 km
26,苏尔曼港,26°12′.1N,050°36′.8E,巴林,2401.624301733037 km
27,锡特拉港,26°09′.5N,050°40′.2E,巴林,2410.225106936754 km
28,巴林港,26°14′N,050°35′E,巴林王国,2398.230151575185 km
29,福塔莱萨港,03°42′.9S,038°28′.6W,巴西,4.618548563919311 km
30,里约热内卢港,22°54′S,043°12′W,巴西,0.9068904196292726 km
31,海州港,37°59′N,125°42′E,朝鲜,497.7887708792819 km
32,南浦港,38°43′N,125°24′E,朝鲜,576.3582013192981 km
33,元山港,39°10′N,127°26′E,朝鲜,531.70130070725 km
34,帝力港,08°33′S,125°35′E,东帝汶,222.8698634145154 km
35,符拉迪沃斯托克港,43°07′N,131°52′E,俄罗斯,633.589607853656 km
36,扎鲁比诺港,42°38′N,131°05′E,俄罗斯,692.4686718133363 km
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,10.671579054222475 km
38,阿萨布港,13°00′.2N,042°45′.0E,厄立特里亚,2949.6086708645 km
39,马萨瓦港,15°36′.7N,039°28′.6E,厄立特里亚,2536.2180829134622 km
40,土伦港,43°06′N,005°53′E,法国,3.8693247377591864 km
41,马赛,43°18′N,005°22′E,法国,1.1467586196166524 km
42,布雷斯特,48°23′N,004°29′W,法国,1.11343758624598 km
43,帕皮提港,17°32′S,149°35′W,法属波利尼西亚,1.2232560523191902 km
44,达沃港,07°04′N,125°38′E,菲律宾,1891.7673819658014 km
45,马尼拉港,14°35′N,120°58′E,菲律宾,1090.1251212114446 km
46,三宝颜,N6.55,E122.05,菲律宾,1920.8703485438214 km
47,宿务港,10°18′N,123°53′E,菲律宾,1523.685100897482 km
48,伊洛伊洛港,10°42′N,122°35′E,菲律宾,1484.6966712548399 km
49,苏瓦港,18°08′.1S,178°25′.5E,斐济,0.881872349850355 km
50,明德卢港,16°53′N,025°00′W,佛得角,1410.61761429673 km
51,卡塔赫纳港,10°25′N,075°32′W,哥伦比亚,2.594057608615263 km
52,卡尔德拉港,09°55′N,083°43′W,哥斯达黎加,73.58871415984578 km
53,利蒙港,10°00′N,083°01′W,哥斯达黎加,0.6459301656208765 km
