seq,station, lat,lon,country,station_en,,
1,阿尔及尔港,36°46′N,003°04′E,阿尔及利亚,Harbour Alger,36.76666667,3.066666667
2,布宜诺斯艾利斯港,34°36′S,058°22′W,阿根廷,Puerto de Beunos Aires,34.6,58.36666667
3,马德普拉塔港,38°00′S,057°32′W,阿根廷,Puerto Mar Del Plata,38,57.53333333
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,Port Abu Dhabi,24.53333333,54.38333333
5,拉希德港,25°16′N,055°16′E,阿拉伯联合酋长国,Port Rashid,25.26666667,55.26666667
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,Mina Zayed Port,24.51666667,54.38333333
7,迪拜,25°16′N,055°18′E,阿拉伯联合酋长国,Dubai,25.26666667,55.3
8,马西拉岛,20°30′N,058°50′E,阿曼,Masīrah,20.5,58.83333333
9,塞拉莱港,16°56′N,054°00′E,阿曼,Port of Salalah,16.93333333,54
10,苏尔丹卡布斯港,23°38′N,058°34′.0E,阿曼,Port Sultan Qaboos,23.63333333,58.56666667
11,塞法杰港,26°44′.4N,033°56′.6E,埃及,Port Safaga,26.73333333,33.93333333
12,苏伊士港,29°56′.5N,032°33′.9E,埃及,Port Suez,29.93333333,32.55
13,亚历山大港,31°09′N,029°53′E,埃及,Alexandria Port,31.15,29.88333333
14,罗安达港,08°47′S,013°16′E,安哥拉,Luanda Port,8.783333333,13.26666667
15,奥尔巴尼港,35°02′S,117°53′E,澳大利亚,Albany Port,35.03333333,117.8833333
16,达尔文港,12°28′S,130°50′E,澳大利亚,Port Darwin,12.46666667,130.8333333
17,弗里曼特尔港,32°03′S,115°44′E,澳大利亚,Fremantle,32.05,115.7333333
18,凯恩斯港,16°55′S,145°47′E,澳大利亚,Cairns Harbour,16.91666667,145.7833333
19,纽卡斯尔港,32°55′S,151°48′E,澳大利亚,Newcastle Port,32.91666667,151.8
20,悉尼港,33°51′S,151°13′E,澳大利亚,Sydney Harbour,33.85,151.2166667
21,布里奇敦港,13°06′N,059°38′W,巴巴多斯,Bridgetown Harbour,13.1,59.63333333
22,莫尔兹比港,09°28′.7S,147°08′.8E,巴布亚新几内亚,Port Moresby,9.466666667,147.1333333
23,瓜德尔港,25°07′N,062°19′E,巴基斯坦,Gwādar,25.11666667,62.31666667
24,加西姆港,24°46′.1N,067°19′.7E,巴基斯坦,Port Muhammad Bin Qasim ,24.76666667,67.31666667
25,卡拉奇港,24°48′N,066°59′E,巴基斯坦,Karachi Harbour,24.8,66.98333333
26,苏尔曼港,26°12′.1N,050°36′.8E,巴林,Mina Sulman Port,26.2,50.6
27,锡特拉港,26°09′.5N,050°40′.2E,巴林,Port of Sitrah,26.15,50.66666667
28,巴林港,26°14′N,050°35′E,巴林王国,Bahrain Port,26.23333333,50.58333333
29,福塔莱萨港,03°42′.9S,038°28′.6W,巴西,Fortaleza Port,3.7,38.46666667
30,里约热内卢港,22°54′S,043°12′W,巴西,Rio de Janeiro Port,22.9,43.2
31,海州港,37°59′N,125°42′E,朝鲜,Haeju Port,37.98333333,125.7
32,南浦港,38°43′N,125°24′E,朝鲜,Nampo Port,38.71666667,125.4
33,元山港,39°10′N,127°26′E,朝鲜,Wonsan Hang,39.16666667,127.4333333
34,帝力港,08°33′S,125°35′E,东帝汶,Dili Port,8.55,125.5833333
35,符拉迪沃斯托克港,43°07′N,131°52′E,俄罗斯,Port Vladivostok,43.11666667,131.8666667
36,扎鲁比诺港,42°38′N,131°05′E,俄罗斯,ZarubinoPort,42.63333333,131.0833333
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,Guayaquil Port,2.283333333,79.9
38,阿萨布港,13°00′.2N,042°45′.0E,厄立特里亚,Port Assab,13,42.75
39,马萨瓦港,15°36′.7N,039°28′.6E,厄立特里亚,Massawa Harbour,15.6,39.46666667
40,土伦港,43°06′N,005°53′E,法国,Toulon Port,43.1,5.883333333
41,马赛,43°18′N,005°22′E,法国,MarseillePor,43.3,5.366666667
42,布雷斯特,48°23′N,004°29′W,法国,BrestPort,48.38333333,4.483333333
43,帕皮提港,17°32′S,149°35′W,法属波利尼西亚,Papeete Port,17.53333333,149.5833333
44,达沃港,07°04′N,125°38′E,菲律宾,Davao Port,7.066666667,125.6333333
45,马尼拉港,14°35′N,120°58′E,菲律宾,Manila Harbour,14.58333333,120.9666667
46,三宝颜,N6.55,E122.05,菲律宾,Zamboanga,6.55,122.05
47,宿务港,10°18′N,123°53′E,菲律宾,Cebu Port,10.3,123.8833333
48,伊洛伊洛港,10°42′N,122°35′E,菲律宾,Iloilo Port,10.7,122.5833333
49,苏瓦港,18°08′.1S,178°25′.5E,斐济,Suva Port,18.13333333,178.4166667
50,明德卢港,16°53′N,025°00′W,佛得角,Mindelo Port,16.88333333,25
51,卡塔赫纳港,10°25′N,075°32′W,哥伦比亚,Cartagena Port,10.41666667,75.53333333
52,卡尔德拉港,09°55′N,083°43′W,哥斯达黎加,Puerto Caldera,9.916666667,83.71666667
53,利蒙港,10°00′N,083°01′W,哥斯达黎加,Puerto Limon,10,83.01666667
54,哈瓦那港,23°09′N,082°21′W,古巴,Puerto De La Habana,23.15,82.35
55,仁川港,37°28′N,126°37′E,韩国,Inchon Port,37.46666667,126.6166667
56,镇海港,35°07′N,128°42′E,韩国,Jinhae Hang,35.11666667,128.7
57,吉布提港,11°36′N,043°08′E,吉布提,Port of Djibouti,11.6,43.13333333
58,哈利法克斯港,44°39′N,063°34′W,加拿大,Halifax Harbour,44.65,63.56666667
59,西哈努克港,10°38′N,103°29′E,柬埔寨,Sihanoukville Port,10.63333333,103.4833333
