Seq,station,lat,lon,country,gloss_number,distance
1,阿尔及尔港,36°46′N,003°04′E,阿尔及利亚,205,751.0672517654785 km
2,布宜诺斯艾利斯港,34°36′S,058°22′W,阿根廷,300,196.64508485801917 km
3,马德普拉塔港,38°00′S,057°32′W,阿根廷,192,5.739536620081218 km
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,337,633.6500673457477 km
5,拉希德港,25°16′N,055°16′E,阿拉伯联合酋长国,337,537.136513290357 km
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,337,633.9416192360532 km
7,迪拜,25°16′N,055°18′E,阿拉伯联合酋长国,337,533.780008209331 km
8,马西拉岛,20°30′N,058°50′E,阿曼,337,561.5934368622578 km
9,塞拉莱港,16°56′N,054°00′E,阿曼,4,7.3779267416330905 km
10,苏尔丹卡布斯港,23°38′N,058°34′.0E,阿曼,337,276.71163793285615 km
11,塞法杰港,26°44′.4N,033°56′.6E,埃及,1,379.10385837132884 km
12,苏伊士港,29°56′.5N,032°33′.9E,埃及,1,1.6085348340895336 km
13,亚历山大港,31°09′N,029°53′E,埃及,349,8.044569527452236 km
14,罗安达港,08°47′S,013°16′E,安哥拉,262,394.04168559420265 km
15,奥尔巴尼港,35°02′S,117°53′E,澳大利亚,53,386.4503804132009 km
16,达尔文港,12°28′S,130°50′E,澳大利亚,62,1.8118659892731612 km
17,弗里曼特尔港,32°03′S,115°44′E,澳大利亚,53,0.00031165802980575745 km
18,凯恩斯港,16°55′S,145°47′E,澳大利亚,60,281.1548412774433 km
19,纽卡斯尔港,32°55′S,151°48′E,澳大利亚,57,116.17141239068454 km
20,悉尼港,33°51′S,151°13′E,澳大利亚,57,1.5421360095818548 km
21,布里奇敦港,13°06′N,059°38′W,巴巴多斯,338,224.47039724617878 km
22,莫尔兹比港,09°28′.7S,147°08′.8E,巴布亚新几内亚,63,375.70510425077674 km
23,瓜德尔港,25°07′N,062°19′E,巴基斯坦,295,1.6805729668105087 km
24,加西姆港,24°46′.1N,067°19′.7E,巴基斯坦,30,35.5869709773479 km
25,卡拉奇港,24°48′N,066°59′E,巴基斯坦,30,1.6858885823639058 km
26,苏尔曼港,26°12′.1N,050°36′.8E,巴林,337,1007.9717194455379 km
27,锡特拉港,26°09′.5N,050°40′.2E,巴林,337,1000.994476876866 km
28,巴林港,26°14′N,050°35′E,巴林王国,337,1009.8647110071514 km
29,福塔莱萨港,03°42′.9S,038°28′.6W,巴西,336,1.8422449682757907 km
30,里约热内卢港,22°54′S,043°12′W,巴西,195,3.420614059746158 km
31,海州港,37°59′N,125°42′E,朝鲜,307,201.26533985844338 km
