Seq,station,lat,lon,country,gloss_number,distance
1,阿尔及尔港,36°46′N,003°04′E,阿尔及利亚,,261.80332255265506 km
2,布宜诺斯艾利斯港,34°36′S,058°22′W,阿根廷,,14.483273340359657 km
3,马德普拉塔港,38°00′S,057°32′W,阿根廷,192,5.739536620081218 km
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,,182.16178533203035 km
5,拉希德港,25°16′N,055°16′E,阿拉伯联合酋长国,,109.47858758961759 km
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,,181.78554535698925 km
7,迪拜,25°16′N,055°18′E,阿拉伯联合酋长国,,106.3966265659729 km
8,马西拉岛,20°30′N,058°50′E,阿曼,,20.291418794684695 km
9,塞拉莱港,16°56′N,054°00′E,阿曼,4,1.2957696566465755 km
10,苏尔丹卡布斯港,23°38′N,058°34′.0E,阿曼,,0.5019758880820043 km
11,塞法杰港,26°44′.4N,033°56′.6E,埃及,,321.5622419859939 km
12,苏伊士港,29°56′.5N,032°33′.9E,埃及,1,1.6085348340895336 km
13,亚历山大港,31°09′N,029°53′E,埃及,349,7.514680929906158 km
14,罗安达港,08°47′S,013°16′E,安哥拉,,4.050991445991342 km
15,奥尔巴尼港,35°02′S,117°53′E,澳大利亚,,0.7119353779717038 km
16,达尔文港,12°28′S,130°50′E,澳大利亚,62,1.8118659892731612 km
17,弗里曼特尔港,32°03′S,115°44′E,澳大利亚,53,0.00031165802980575745 km
18,凯恩斯港,16°55′S,145°47′E,澳大利亚,,0.5120359218822722 km
19,纽卡斯尔港,32°55′S,151°48′E,澳大利亚,,0.3696763137256247 km
20,悉尼港,33°51′S,151°13′E,澳大利亚,57,1.2339549827848801 km
21,布里奇敦港,13°06′N,059°38′W,巴巴多斯,,1.8205548185353535 km
22,莫尔兹比港,09°28′.7S,147°08′.8E,巴布亚新几内亚,,1.519471645186923 km
23,瓜德尔港,25°07′N,062°19′E,巴基斯坦,295,1.6805729668105087 km
24,加西姆港,24°46′.1N,067°19′.7E,巴基斯坦,30,34.38123291895742 km
25,卡拉奇港,24°48′N,066°59′E,巴基斯坦,30,1.1578375159045728 km
26,苏尔曼港,26°12′.1N,050°36′.8E,巴林,,3.323738883004754 km
27,锡特拉港,26°09′.5N,050°40′.2E,巴林,,11.088870100360978 km
28,巴林港,26°14′N,050°35′E,巴林王国,,1.7057993907003914 km
29,福塔莱萨港,03°42′.9S,038°28′.6W,巴西,336,1.8422449682757907 km
30,里约热内卢港,22°54′S,043°12′W,巴西,195,3.0779370676095676 km
31,海州港,37°59′N,125°42′E,朝鲜,,87.84867522154715 km
32,南浦港,38°43′N,125°24′E,朝鲜,,115.0098215534166 km
33,元山港,39°10′N,127°26′E,朝鲜,307,1.4403832910202639 km
34,帝力港,08°33′S,125°35′E,东帝汶,50,283.77407795117546 km
35,符拉迪沃斯托克港,43°07′N,131°52′E,俄罗斯,,4.585954129517519 km
